department,day,targeted_productivity,smv,wip,over_time,incentive,no_of_workers,actual_productivity,productivity_difference,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,team_1,team_10,team_11,team_12,team_2,team_3,team_4,team_5,team_6,team_7,team_8,team_9
1,3,0,26,1108,7080,98,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,3,1190,960,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,11,968,3660,50,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3,0,11,968,3660,50,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,3,0,25,1170,1920,50,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,0,25,984,6720,38,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,3,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,0,28,795,6900,45,57,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,19,733,6000,34,55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,0,28,681,6900,45,57,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,28,872,6900,44,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,0,19,578,6480,45,54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,11,668,3660,50,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,3,1190,960,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,2,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,3,1190,2160,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,2,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,0,23,861,7200,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,4,1190,1440,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,4,1190,6600,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,2,1190,5640,0,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,4,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,3,1190,1560,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,3,1190,960,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,28,772,6300,50,56,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,28,913,6540,50,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,26,1261,7080,50,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,26,844,7080,63,59,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,11,1005,7080,50,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,11,659,7080,50,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,25,1152,6720,50,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,25,1138,6720,38,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,19,610,6480,56,54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,4,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,19,944,6600,45,55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,4,1190,960,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,23,544,13800,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,28,1072,6900,40,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,2,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,3,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,4,1190,1560,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,3,1190,960,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,3,1190,960,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,11,539,6975,50,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
