quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,no_of_workers,actual_productivity,productivity_difference
0,1,3,8,0.8,26.16,1108.0,7080.0,98,59.0,0.940725424,0.140725424
0,0,3,1,0.75,3.94,1190.4659913169319,960.0,0,8.0,0.8865,0.13649999999999995
0,1,3,11,0.8,11.41,968.0,3660.0,50,30.5,0.800570492,0.0005704919999999225
0,1,3,12,0.8,11.41,968.0,3660.0,50,30.5,0.800570492,0.0005704919999999225
0,1,3,6,0.8,25.9,1170.0,1920.0,50,56.0,0.800381944,0.0003819439999999119
0,1,3,7,0.8,25.9,984.0,6720.0,38,56.0,0.800125,0.00012499999999993072
0,0,3,2,0.75,3.94,1190.4659913169319,960.0,0,8.0,0.755166667,0.005166667000000014
0,1,3,3,0.75,28.08,795.0,6900.0,45,57.5,0.753683478,0.003683478000000018
0,1,3,2,0.75,19.87,733.0,6000.0,34,55.0,0.753097531,0.0030975309999999867
0,1,3,1,0.75,28.08,681.0,6900.0,45,57.5,0.750427826,0.00042782600000002
0,1,3,9,0.7,28.08,872.0,6900.0,44,57.5,0.721126957,0.021126957000000002
0,1,3,10,0.75,19.31,578.0,6480.0,45,54.0,0.712205247,-0.037794753000000014
0,1,3,5,0.8,11.41,668.0,3660.0,50,30.5,0.707045902,-0.0929540980000001
0,0,3,10,0.65,3.94,1190.4659913169319,960.0,0,8.0,0.705916667,0.055916666999999975
0,0,3,8,0.75,2.9,1190.4659913169319,960.0,0,8.0,0.676666667,-0.073333333
0,0,3,4,0.75,3.94,1190.4659913169319,2160.0,0,18.0,0.593055556,-0.15694444399999996
0,0,3,7,0.8,2.9,1190.4659913169319,960.0,0,8.0,0.540729167,-0.2592708330000001
0,1,3,4,0.65,23.69,861.0,7200.0,0,60.0,0.52118,-0.12882000000000005
0,0,3,11,0.7,4.15,1190.4659913169319,1440.0,0,12.0,0.436326389,-0.263673611
0,0,1,4,0.8,4.15,1190.4659913169319,6600.0,0,20.0,0.988024691,0.18802469099999997
0,0,1,11,0.75,2.9,1190.4659913169319,5640.0,0,17.0,0.987880435,0.237880435
0,0,1,9,0.8,4.15,1190.4659913169319,960.0,0,8.0,0.956270833,0.156270833
